OID_,AC_type,Year,Passage_lift,Service_lift,Operate_start_work,bld_opr_hrs,Operate_start_weekend,Operate_hours_weekend,retail,parking,office,hotel,food,GHI,wind_speed_10m,CDH,landuse,NDVI,NDBI,BH,podium,area_podium,highrise,area_upper,Dist_mtr,bld_eui2,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
1890,Central Air-Conditioning System,1994,3,1,8,10,8,6,1146.040405,33.6261101,1245.740967,170.0093689,1499.288208,1416.805054,3.0064847,2.757786739,11,0.0531519,0.0627474,81.7537003,1,3286,1,366,223.7927562,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1891,Individual Air-Conditioning System,1994,2,0,,,,,571.8936157,82.7045822,28.756506,58.3639641,1250.175659,1421.552979,2.4128978,2.793602151,11,0.0632793,0.0246536,68.7259979,1,314,1,119,388.8706668,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1892,Individual Air-Conditioning System,1994,2,0,,,,,1314.228027,45.7463303,1222.901245,552.2001953,3227.037354,1421.187988,2.9570251,2.757786739,11,0.0140653,-0.0320416,61.5523796,1,2625,1,215,249.3640872,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1893,Central Air-Conditioning System,1995,2,0,,,,,1414.046631,93.502655,0.2565176,128.7788391,889.0281372,1418.265991,2.9570251,2.757786739,11,-0.0086687,0.0686346,59.6890259,1,3749,1,1587,400.0406219,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1894,Individual Air-Conditioning System,1996,3,1,,,,,1191.877441,221.9932251,63.3934097,468.3677063,1189.299439,1421.187988,3.0064847,2.757786739,11,0.0093286,0.0742371,147.3774567,1,685,1,479,266.0014232,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1895,Individual Air-Conditioning System,1996,,,,,,,1509.076416,176.1144104,9.5798321,0.0006943,4085.269775,1421.187988,3.1632802,2.793602151,11,0.018375,0.0568997,70.1445618,1,1238,1,106,271.649528,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1896,Individual Air-Conditioning System,1997,2,0,,,,,562.5886841,0,204.8011017,0,1797.236816,1421.552979,3.5354245,2.793602151,11,0.084847,0.0525344,81.2697067,1,200,1,288,274.9100068,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1897,Individual Air-Conditioning System,1997,1,0,,,,,1762.494385,167.8194733,529.2578735,172.5354004,1610.574951,1421.187988,3.1632802,2.793602151,41,0.0359783,0.1083775,16.6491489,1,1432,0,0,130.2548983,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1898,Individual Air-Conditioning System,1998,2,0,,,,,2180.748291,0,81.7071381,56.4160004,1186.11023,1419.727051,2.6154828,2.757786739,1,0.0460006,0.0347922,28.9161358,1,1980,1,37,124.5486062,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
1899,Individual Air-Conditioning System,1998,2,0,0,24,0,24,1221.068604,98.6784821,568.0762939,117.2895966,897.4263916,1421.187988,3.1632802,2.793602151,1,0.0328828,0.0917385,36.0376663,1,2128,1,592,223.2232303,,NO,NO,NO,NO,NO,NONE,NONE,NONE,,,,,,,
