ID,bld_eui2,log10_eui,BH,FoC_v,retro,BS,Basement,Year,highrise,area_upper,podium,area_podium,CDH,GHI,wind_speed_10m,landuse,food,retail,parking,office,hotel,Dist_mtr,CLABEL,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_start_weekend,Operate_hours_weekend,Operate_hours,BH,bld_submis
36,8.83,0.945960704,42.6685905,,NONE,11,0,1980,1,477,1,1746,2.6503401,1425.209961,1.54132,1,1142,1321.219971,176.9060059,212.6869965,0,526.2455923,長沙灣站,,,,,,,,,42.6685905,2017
37,9.22,0.964730921,48.3448715,,NONE,13,0,1958,1,329,1,3589,2.7936001,1419.359985,2.4129,1,1815.880005,382.9079895,10.8153,0,46.5010986,453.9602543,佐敦站,,,,,,,,,48.3448715,2015
38,9.23,0.965201701,19.1598663,,NONE,23,0,1980,1,414,1,2408,2.5070801,1424.839966,3.10741,11,903.4329834,1907.829956,91.7241974,182.3739929,0,164.5818194,上環站,Individual Air-Conditioning System,2,0,,,,,,19.1598663,2017
39,9.5,0.977723605,55.1091652,2012,retro_before,17,0,1965,1,722,1,1284,2.6145301,1405.849976,3.6496201,1,893.677002,943.8049927,0,12.0490999,0,295.7425474,灣仔站,,,,,,,,,55.1091652,2016
40,9.59,0.981818607,44.0344505,,NONE,17,0,1976,1,945,1,2847,2.7936001,1424.469971,2.3709099,11,813.8389893,726.8950195,109.2809982,0,263.506012,76.79715958,佐敦站,,,,,,,,,44.0344505,2014
41,9.76,0.989449818,18.5509567,,NONE,7,0,1976,1,84,1,1250,2.5070801,1418.630005,3.10741,11,550.8250122,1694.76001,24.9703007,263.4230042,0,196.8440501,上環站,Individual Air-Conditioning System,,,,,,,,18.5509567,2015
42,10.04,1.001733713,24.1877995,,NONE,30,0,2001,1,71,1,708,2.5787101,1422.650024,1.33883,1,718.3330078,302.1719971,80.0958023,94.0307999,0,369.2605381,長沙灣站,,,,,,,,,24.1877995,2014
43,10.14,1.006037955,80.228035,2015,retro_after,21,0,1984,1,506,1,1986,2.5428901,1384.660034,2.3825901,1,1739.609985,217.8500061,74.4873962,223.6730042,0,502.4973987,太和站,,,,,,,,,80.228035,2014
44,10.44,1.018700499,22.5474911,,NONE,5,0,1979,1,131,1,2408,2.5070801,1424.839966,3.10741,11,2431.370117,738.6099854,0,537.7189941,36.7015991,133.8855305,上環站,,,,,,,,,22.5474911,2013
45,10.45,1.01911629,63.6882172,2018,retro_after,16,0,1975,1,761,1,1598,2.7936001,1427.030029,2.8306999,11,258.3169861,550.098999,0,151.2310028,0,337.4287666,佐敦站,,,,,,,,,63.6882172,2014
46,10.49,1.020775488,48.1359558,,NONE,18,0,1977,1,331,1,611,2.7936001,1425.939941,3.11588,1,1446.900024,418.3819885,9.0741796,0,22.5035992,141.8766948,佐敦站,,,,,,,,,48.1359558,2019
47,10.59,1.02489596,22.0830917,,NONE,5,0,1984,1,138,1,2408,2.5070801,1426.670044,3.10741,11,2158.080078,659.2730103,0,544.8950195,53.0256004,154.2071421,上環站,,,,,,,,,22.0830917,2015
48,10.88,1.036628895,43.1523438,,NONE,10,0,1967,1,296,1,1050,2.6145301,1427.030029,2.4739699,11,83.331398,996.0570068,127.7659988,205.5930023,0,290.9503272,深水站,,,,,,,,,43.1523438,2013
49,10.9,1.037426498,72.9676437,,NONE,21,0,1975,1,205,1,650,2.6503401,1427.030029,2.5111799,11,352.8559875,536.1790161,0,176.0370026,176.6909943,150.5387616,旺角站,,,,,,,,,72.9676437,2015
50,11.17,1.048053173,34.0044022,,NONE,6,0,1984,1,63,1,308,2.5070801,1408.77002,3.10741,11,1732.660034,1246.160034,0,92.607399,48.9062004,243.2657631,上環站,,,,,,,,,34.0044022,2020
51,11.28,1.0523091,14.1999617,,NONE,17,0,1973,1,422,1,1386,2.5070801,1429.219971,3.73476,41,1073.310059,847.9470215,0,332.9240112,56.9357986,401.2228353,西營盤站,Individual Air-Conditioning System,,,,,,,,14.1999617,2013
52,11.33,1.05422991,50.0952492,,NONE,3,0,1988,1,730,1,1364,2.5428901,1425.569946,3.30885,1,531.1530151,511.9140015,2.2175801,25.6222992,0,426.1331325,石硤尾站,,,,,,,,,50.0952492,2015
53,11.39,1.056523724,61.4678802,,NONE,16,0,1967,1,394,1,2391,2.7936001,1425.939941,3.11588,11,938.3010254,2024.849976,0,1991.209961,338.9620056,35.83556502,佐敦站,,,,,,,,,61.4678802,2013
54,11.55,1.062581984,113.7512894,,NONE,26,0,1976,1,704,1,1016,2.6503401,1388.680054,1.67211,1,995.1099854,1157.479981,25.0631008,180.048996,0,536.9265311,鑽石山站,,,,,,,,,113.7512894,2015
55,11.93,1.076640444,123.8987045,,NONE,24,0,2010,1,137,1,223,2.6503401,1427.030029,2.3394201,1,764.9210205,637.3640137,0,1964.369995,0,222.2486295,深水站,,,,,,,,,123.8987045,2013
56,11.94,1.077004327,46.4868202,,NONE,10,0,1985,1,424,1,1056,2.7219701,1429.589966,2.9174199,11,1871.719971,2454.090088,0,38.4203987,275.3720093,312.4804217,旺角站,Central Air-Conditioning System,13,1,8,11,8,6,61,46.4868202,2015
57,12.29,1.089551883,24.9576664,,NONE,12,0,1979,1,144,1,1820,2.5428901,1435.430054,3.28985,41,1057.390015,758.8779907,0,0,0,255.1358579,西營盤站,,,,,,,,,24.9576664,2015
