bld_eui2,log10_eui,highrise,area_upper,podium,area_podium,BH,BS,Year,food,retail,parking,office,hotel,CDH,GHI,wind_speed_10m,ndvi,landuse,Dist_mtr,AC_type,Passage_lift,Service_lift,Operate_start_work,Operate_hours_work,Operate_hours,retro
10.59,1.02489596,1,138,1,2408,22.0830917,5,1984,2158.080078,659.2730103,0,544.8950195,53.0256004,2.5070801,1426.670044,3.10741,0.0014009,11,154.2071421,,,,,,,NONE
10.88,1.036628895,1,296,1,1050,43.1523438,10,1967,83.331398,996.0570068,127.7659988,205.5930023,0,2.6145301,1427.030029,2.4739699,0.0089065,11,290.9503272,,,,,,,NONE
10.9,1.037426498,1,205,1,650,72.9676437,21,1975,352.8559875,536.1790161,0,176.0370026,176.6909943,2.6503401,1427.030029,2.5111799,0.0217818,11,150.5387616,,,,,,,NONE
11.17,1.048053173,1,63,1,308,34.0044022,6,1984,1732.660034,1246.160034,0,92.607399,48.9062004,2.5070801,1408.77002,3.10741,0.0445894,11,243.2657631,,,,,,,NONE
11.28,1.0523091,1,422,1,1386,14.1999617,17,1973,1073.310059,847.9470215,0,332.9240112,56.9357986,2.5070801,1429.219971,3.73476,0.0583971,41,401.2228353,Individual Air-Conditioning System,,,,,,NONE
11.33,1.05422991,1,730,1,1364,50.0952492,3,1988,531.1530151,511.9140015,2.2175801,25.6222992,0,2.5428901,1425.569946,3.30885,0.0780541,1,426.1331325,,,,,,,NONE
11.39,1.056523724,1,394,1,2391,61.4678802,16,1967,938.3010254,2024.849976,0,1991.209961,338.9620056,2.7936001,1425.939941,3.11588,0.0296363,11,35.83556502,,,,,,,NONE
11.55,1.062581984,1,704,1,1016,113.7512894,26,1976,995.1099854,1157.479981,25.0631008,180.048996,0,2.6503401,1388.680054,1.67211,0.0745324,1,536.9265311,,,,,,,NONE
11.93,1.076640444,1,137,1,223,123.8987045,24,2010,764.9210205,637.3640137,0,1964.369995,0,2.6503401,1427.030029,2.3394201,0.0167852,1,222.2486295,,,,,,,NONE
11.94,1.077004327,1,424,1,1056,46.4868202,10,1985,1871.719971,2454.090088,0,38.4203987,275.3720093,2.7219701,1429.589966,2.9174199,0.0378549,11,312.4804217,Central Air-Conditioning System,13,1,8,11,61,NONE
12.29,1.089551883,1,144,1,1820,24.9576664,12,1979,1057.390015,758.8779907,0,0,0,2.5428901,1435.430054,3.28985,0.0464576,41,255.1358579,,,,,,,NONE
12.39,1.093071306,1,188,1,685,26.1005249,5,1985,1623.189941,529.9760132,65.1144028,50.9001999,0,2.6145301,1414.609985,2.3836701,0.0562316,11,1039.56408,Individual Air-Conditioning System,,,,,,NONE
12.57,1.099335278,1,638,1,1375,67.2460403,21,1984,269.5710144,861.8099976,0,84.7703018,0,2.7577901,1425.939941,2.9251499,-0.0016609,11,307.2093542,,,,,,,NONE
12.77,1.106190897,1,201,1,936,46.0468369,14,1983,1013.219971,1801.25,73.0563965,435.7669983,0,2.5428901,1427.400024,2.90558,0.041179,1,269.6139413,,,,,,,NONE
12.86,1.109240969,1,105,1,1067,30.5364895,5,1991,1801.329956,1035.969971,13.3100996,256.1719971,106.0749969,2.5070801,1418.630005,3.10741,0.095527,1,247.5259721,Individual Air-Conditioning System,,,,,,NONE
